DEPTH,GR ,PEFZ,RT_HRLT ,RHOZ,TNPH,DTCO,DTSM_fast,DTSM_slow
ft,GAPI,PE,ohms,g/cc,V/V,ft/s,ft/s,ft/s
10350,61.0253,10,2.412922821,2.6245,0.1226,55.4881,106.7354,108.5056
10350.5,62.6672,10,2.331615956,2.6435,0.1102,55.4526,104.1574,105.1095
10351,65.6796,10,1.989707381,2.6575,0.0956,55.5384,100.8745,102.8926
10351.5,65.785,10,2.270490873,2.6702,0.0816,54.0831,98.0415,99.6777
10352,59.5805,10,2.843247483,2.6937,0.0724,53.8515,95.4804,97.0179
10352.5,51.8293,10,2.717991779,2.7001,0.0881,55.4072,93.8623,94.4533
10353,42.5922,10,2.089355717,2.6866,0.1071,56.7814,98.2373,99.0188
10353.5,39.9542,10,1.808982966,2.6573,0.1235,62.1759,105.7084,106.8766
10354,35.0135,10,1.863249678,2.6342,0.1429,64.545,112.0517,112.5676
10354.5,36.2382,10,1.713864195,2.6198,0.1473,65.1368,113.9444,114.5434
10355,43.6855,10,1.869485766,2.6167,0.1345,63.9432,112.3927,113.8694
10355.5,50.9045,10,2.216414264,2.6327,0.1212,60.3322,111.0891,112.1626
10356,54.3128,10,2.086929024,2.6588,0.1211,58.6643,109.8801,110.9094
10356.5,59.646,10,1.604332993,2.6792,0.1297,56.8779,109.1392,110.5662
10357,62.7246,10,1.699505593,2.6773,0.1316,56.6837,110.0472,111.9988
10357.5,63.3777,10,1.661506963,2.6748,0.1293,56.6862,110.6039,112.1188
10358,60.8395,10,1.722468563,2.6697,0.1216,56.3422,111.0198,112.0029
10358.5,58.1703,10,1.739317547,2.6607,0.12,55.8131,111.1128,111.7862
10359,55.3193,10,1.706417341,2.648,0.1187,55.6523,110.8868,111.0638
10359.5,51.6306,10,1.541239663,2.6357,0.1204,55.8361,109.542,110.3638
10360,49.6809,10,1.709340358,2.6382,0.1198,55.815,107.0858,109.2069
10360.5,50.7357,10,1.640653332,2.6502,0.121,55.8186,105.7598,106.4436
10361,53.3362,10,1.688923241,2.6532,0.1183,56.0468,105.599,106.5678
10361.5,53.3447,10,1.681155275,2.6432,0.1202,56.1059,105.8156,106.6343
10362,50.8386,10,1.727894892,2.6239,0.1237,55.8399,105.0273,106.831
10362.5,47.4142,10,1.932802405,2.6118,0.1299,55.884,104.6687,105.7856
10363,45.7375,10,1.851765749,2.6058,0.14,55.9853,104.5442,105.9246
10363.5,46.6176,10,1.725714849,2.6047,0.1544,56.09,105.0109,105.6033
10364,48.5643,10,1.555009759,2.6059,0.1567,56.2576,103.6173,104.9809
10364.5,52.9541,10,1.378772069,2.6049,0.1623,56.1359,102.7229,103.9914
10365,60.3938,10,1.627010286,2.6064,0.1733,56.2656,102.1687,102.1952
10365.5,66.6934,10,2.126609939,2.6237,0.1611,56.3029,101.4225,102.2848
10366,67.2133,10,2.096314448,2.6467,0.1462,56.762,101.8974,103.7412
10366.5,59.8646,10,1.722977603,2.6639,0.1331,57.5316,103.6999,105.7433
10367,48.5074,10,1.686436054,2.668,0.1349,57.8104,105.8443,107.8432
10367.5,38.5204,10,1.966570182,2.68,0.1236,57.5788,107.6793,108.4077
10368,33.5082,10,2.215392196,2.693,0.1004,56.7879,102.0217,103.1018
10368.5,33.889,10,2.406125444,2.699,0.0846,56.0969,99.6355,101.3526
10369,34.4624,10,2.322813664,2.6851,0.0836,55.8598,99.5942,101.3205
10369.5,32.6815,10,1.969316647,2.6572,0.0839,56.0086,100.2288,100.5684
10370,30.4993,10,1.937074846,2.6406,0.0726,56.2979,96.1643,98.0563
10370.5,30.7447,10,1.989829659,2.6354,0.0651,56.7842,94.2935,95.2035
10371,36.367,10,2.075797977,2.6384,0.0671,57.317,97.6165,99.1902
10371.5,45.293,10,2.189070133,2.6378,0.0893,57.5405,102.9377,103.2607
10372,53.4187,10,2.185225313,2.6402,0.1221,57.5581,105.3681,107.3576
10372.5,56.5876,10,2.317827123,2.6577,0.1489,57.3617,109.8921,110.7287
10373,55.9538,10,2.387577921,2.6669,0.1452,56.9965,107.653,108.0063
10373.5,54.324,10,2.434540323,2.6773,0.1321,56.3192,109.9138,110.9432
10374,52.278,10,2.288818445,2.671,0.1201,55.586,106.7002,107.6359
10374.5,51.697,10,2.254724466,2.6638,0.11,55.2695,101.4603,108.7956
10375,45.9813,10,2.149459294,2.6517,0.1007,55.1312,100.2664,105.8346
10375.5,43.143,10,2.242592606,2.6396,0.0977,55.6608,100.5362,101.9106
10376,42.3285,10,2.229375655,2.6316,0.0991,57.3942,99.0093,100.0804
10376.5,43.5727,10,1.97533253,2.6275,0.1062,57.9429,97.1263,97.8058
10377,45.263,10,1.789015621,2.6247,0.1164,58.0443,95.6141,96.142
10377.5,47.1017,10,1.673036582,2.6261,0.1188,57.3389,92.8373,93.7413
10378,48.4129,10,1.659082924,2.625,0.1198,56.0564,94.4754,95.6262
10378.5,49.5409,10,1.868694976,2.6242,0.1225,55.7461,99.3609,100.1343
10379,50.7352,10,2.03925346,2.6269,0.1298,56.3018,100.8192,101.7332
10379.5,50.7604,10,1.934514611,2.6286,0.132,56.767,102.6629,102.8042
10380,48.0033,10,1.810549048,2.6195,0.129,56.8301,101.1722,102.2132
10380.5,42.1427,10,1.787660926,2.6037,0.1134,56.5715,100.3096,101.3625
10381,36.1382,10,1.765742297,2.5869,0.1035,56.2945,98.5601,98.7153
10381.5,31.9901,10,1.719786891,2.5794,0.0977,55.8515,97.3456,98.1895
10382,30.9885,10,1.689399439,2.577,0.1001,55.4427,95.9523,96.248
10382.5,31.5631,10,1.637492732,2.5776,0.1014,55.4533,96.6056,97.0866
10383,32.2241,10,1.617835607,2.5855,0.1059,55.6869,98.5111,99.59
10383.5,31.9898,10,1.63437851,2.5777,0.1118,55.8456,99.4121,100.1135
10384,31.8391,10,1.642114173,2.5639,0.118,55.9113,98.8137,100.5856
10384.5,31.7419,10,1.677872375,2.5505,0.1185,56.1806,98.8933,100.4141
10385,31.9485,10,1.64423863,2.5488,0.1207,56.6614,99.9096,100.8959
10385.5,32.9341,10,1.668502396,2.5751,0.1197,57.0916,101.5146,102.1775
10386,33.8434,10,1.71936278,2.5986,0.116,57.2037,102.9864,103.586
10386.5,34.5522,10,1.691634843,2.6129,0.1144,55.9195,103.4989,104.3367
10387,34.6311,10,1.770969035,2.5958,0.1167,54.909,103.0473,104.0741
10387.5,34.3783,10,1.550246703,2.5745,0.1205,55.2634,101.9546,103.3722
10388,34.2612,10,1.597671058,2.5674,0.1186,55.8381,101.3723,102.5911
10388.5,34.315,10,1.72660986,2.5752,0.1132,56.4498,101.363,101.8791
10389,34.9465,10,1.716811882,2.597,0.1103,56.9559,100.9746,101.4228
10389.5,35.5697,10,1.687348785,2.6025,0.1143,57.0704,100.8023,101.0752
10390,35.7361,10,1.612455364,2.5857,0.1186,56.6475,100.7991,101.6954
10390.5,36.0665,10,1.533203724,2.5581,0.1153,56.0731,100.7032,102.9546
10391,36.1213,10,1.555160979,2.5495,0.1109,55.2648,100.945,103.7353
10391.5,35.4735,10,1.630464488,2.5648,0.1114,54.3611,101.7903,104.1602
10392,34.2538,10,1.691815016,2.6062,0.1184,53.1513,103.1884,104.7331
10392.5,34.641,10,1.664613774,2.6414,0.1223,51.704,104.4838,105.4721
10393,36.3797,10,1.771247849,2.655,0.1271,52.3924,104.7996,105.3256
10393.5,35.4818,10,1.690258118,2.6332,0.1244,57.9358,103.4782,103.4881
10394,32.8888,10,1.554328011,2.5968,0.1054,62.4868,99.8504,100.762
10394.5,33.0569,10,1.574061378,2.5813,0.086,61.2222,97.4617,99.1029
10395,37.5798,10,1.576900849,2.5772,0.0765,56.6774,94.473,97.1175
10395.5,38.3067,10,1.562015541,2.5835,0.078,57.1399,93.7564,97.1802
10396,36.6602,10,1.54132708,2.5796,0.0882,57.5417,95.7526,99.5808
10396.5,35.9651,10,1.581066298,2.5705,0.1044,57.9809,99.1602,102.8069
10397,35.6315,10,1.6462439,2.574,0.1143,59.3109,102,105.185
10397.5,36.5349,10,1.647454369,2.5791,0.1209,59.982,103.973,104.5556
10398,37.0312,10,1.6267129,2.5896,0.1164,59.5051,104.2769,106.1974
10398.5,37.0093,10,1.597285923,2.5874,0.1111,59.19,103.0263,104.6831
10399,37.4628,10,1.556056331,2.5936,0.1,59.0836,101.1124,102.5229
10399.5,38.0877,10,1.592211189,2.5956,0.0976,58.9162,100.1098,100.367
10400,39.1096,10,1.553608777,2.5947,0.0976,57.857,99.7614,100.1326
10400.5,40.806,10,1.561598629,2.5813,0.0992,56.7901,100.0393,100.4515
10401,40.7963,10,1.690494666,2.5749,0.0967,56.4477,100.2459,100.8977
10401.5,38.8556,10,1.914330461,2.5789,0.0948,56.4115,100.3568,101.8551
10402,36.6457,10,1.918840997,2.5819,0.0972,56.788,100.7013,103.2375
10402.5,37.5476,10,1.547745177,2.5798,0.0991,56.9192,102.3359,104.0182
10403,39.7481,10,1.546585844,2.5769,0.0967,56.8841,103.5918,103.956
10403.5,41.3306,10,1.572794955,2.5865,0.0952,56.8733,103.1609,103.9253
10404,42.8952,10,1.607703733,2.5992,0.1007,56.9253,102.247,103.4945
10404.5,43.5777,10,1.618418397,2.608,0.1102,56.8346,101.2975,101.9189
10405,42.2814,10,1.623476718,2.6042,0.1115,56.0912,100.3268,101.264
10405.5,38.6485,10,1.662239201,2.5957,0.1109,55.6452,99.2338,100.75
10406,35.8972,10,1.69192891,2.5948,0.1071,55.7048,99.0807,99.7589
10406.5,34.613,10,1.670970928,2.5929,0.1032,55.7973,98.6225,99.8966
10407,33.3583,10,1.636923978,2.6015,0.1014,56.1478,97.4531,100.2751
10407.5,31.7023,10,1.655384337,2.6216,0.0983,56.4012,96.6736,101.2905
10408,31.3865,10,1.808848101,2.6455,0.096,56.5169,96.9476,102.1568
10408.5,31.8066,10,1.9497217,2.6627,0.0919,56.4944,98.1077,102.3101
10409,32.7221,10,1.817704824,2.6533,0.0857,56.1314,99.2565,102.1298
10409.5,32.6663,10,1.807067335,2.6335,0.0756,55.6013,99.7608,100.1034
10410,33.1203,10,1.68646645,2.6172,0.0641,55.3486,98.2139,98.78
10410.5,34.4091,10,1.650560059,2.609,0.0593,55.5145,96.0249,96.3911
10411,35.2528,10,1.676953194,2.6131,0.0618,56.4839,93.4852,93.5554
10411.5,36.2657,10,1.698433754,2.6141,0.0723,57.8426,91.6724,92.4309
10412,37.5742,10,1.701926152,2.616,0.0851,57.6234,92.4476,93.1446
10412.5,38.8138,10,1.701969285,2.6232,0.0943,56.8563,96.0095,96.0286
10413,39.7695,10,1.709176645,2.6291,0.0981,56.5835,98.86,99.4979
10413.5,40.1041,10,1.741385629,2.6378,0.0958,56.2645,100.9022,100.9697
10414,40.4292,10,1.874550233,2.6463,0.094,56.4932,100.7547,102.0975
10414.5,41.1212,10,2.04738664,2.6562,0.0924,56.622,100.1714,101.1731
10415,41.6092,10,2.217830452,2.6588,0.091,56.0303,99.4756,99.9811
10415.5,40.2412,10,2.332335429,2.6549,0.0862,55.5669,98.4977,99.3287
10416,36.9172,10,2.232104766,2.6548,0.0787,55.5782,97.6122,98.1445
10416.5,33.438,10,1.831729677,2.6521,0.0687,55.7704,96.6999,96.7447
10417,31.611,10,1.772185235,2.643,0.061,55.7302,95.5653,95.5954
10417.5,32.344,10,1.798689999,2.619,0.0572,55.7174,94.8134,95.0026
10418,33.9369,10,1.820878326,2.6026,0.0597,56.5765,95.1901,95.4617
10418.5,35.292,10,1.662684184,2.5884,0.0674,56.9305,95.954,97.7496
10419,40.8741,10,1.955434699,2.5867,0.0813,56.7988,99.1163,102.3755
10419.5,52.8732,10,2.1490355,2.5921,0.1066,57.3476,105.4017,107.7644
10420,69.1182,10,2.103243222,2.6057,0.1428,57.5628,110.9669,112.1965
10420.5,80.3213,10,2.50805126,2.6132,0.1679,57.6784,113.1993,114.9168
10421,78.0441,10,2.800606567,2.6147,0.1639,58.0406,112.2936,113.6018
10421.5,64.8779,10,2.457930922,2.6125,0.1379,57.5284,107.8061,110.3963
10422,51.0714,10,2.518746686,2.6154,0.1479,57.2698,100.6686,107.2914
10422.5,45.8704,10,2.524059332,2.614,0.164,58.2799,98.3053,102.5803
10423,47.6626,10,2.492763042,2.6321,0.1759,59.6792,100.2127,102.127
10423.5,49.6535,10,2.525788175,2.6577,0.162,60.8089,101.1857,104.9368
10424,49.163,10,3.001504393,2.6788,0.15,60.8331,99.9911,105.73
10424.5,46.2008,10,2.838725457,2.6786,0.145,59.5999,99.9187,100.8144
10425,41.3729,10,2.815007013,2.6642,0.124,58.2484,97.6743,99.4322
10425.5,37.6611,10,2.642231581,2.6549,0.1045,57.991,98.4489,99.4634
10426,36.8352,10,2.613205236,2.6488,0.1002,59.1638,100.8523,102.1926
10426.5,40.3507,10,2.679480409,2.6483,0.1134,61.0137,103.4056,104.4463
10427,44.7708,10,2.691438069,2.6442,0.1323,61.6848,104.3685,104.7002
10427.5,47.2494,10,2.714570232,2.6416,0.1426,61.0919,103.4196,104.5923
10428,47.7404,10,2.649588253,2.6289,0.1407,60.9364,103.6953,105.7204
